schema,name,args,return_type,language,volatility,security_definer,lines,bytes,filename
public,et_pm_reset_permission,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,73,3173,public/et_pm_reset_permission.sql
public,et_pm_role_modules,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,30,825,public/et_pm_role_modules.sql
public,et_pm_role_statusmanage,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,33,1093,public/et_pm_role_statusmanage.sql
public,et_pm_rolepermission,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,53,1799,public/et_pm_rolepermission.sql
public,et_pm_update_modules,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,64,2179,public/et_pm_update_modules.sql
public,et_pm_update_quota,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,27,793,public/et_pm_update_quota.sql
public,et_pm_user_modules,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,30,823,public/et_pm_user_modules.sql
public,et_pm_user_statusmanage,"parameter json, ref1 refcursor",SETOF refcursor,plpgsql,v,false,32,920,public/et_pm_user_statusmanage.sql
public,et_pm_userpermission,"parameter json, ref1 refcursor, ref2 refcursor",SETOF refcursor,plpgsql,v,false,48,1467,public/et_pm_userpermission.sql
public,et_preview_document_list,"parameter json, ref refcursor",refcursor,plpgsql,v,false,205,7370,public/et_preview_document_list.sql
public,et_preview_document_list_1,"parameter json, ref refcursor",refcursor,plpgsql,v,false,219,10138,public/et_preview_document_list_1.sql
